dim_diagnostico_key,codigo_cid,descricao
1,A6.04,Environment shoulder entire.
2,A11.06,Here none future.
3,A34.01,Civil front free.
4,A4.06,Clearly town similar these help.
5,A68.08,Firm large town.
6,A42.05,Project call trade factor.
7,A6.02,Of enter study shoulder gas soon.
8,A17.05,Start police north whether actually.
9,A71.05,Its Mrs someone others street minute information.
10,A89.03,All senior consider star trial price color.
11,A20.00,Never this rich hold single administration.
12,A55.01,Because pick actually goal director mother rich training.
13,A76.06,Yeah who picture do low.
14,A8.00,Child movie her leave.
15,A40.07,Care cover eight.
16,A13.00,Rate west plant a pay member.
17,A11.02,Bar today somebody help.
18,A16.00,Reason identify world energy line seem friend.
19,A37.06,Agency player clearly white ask thank.
20,A73.07,Head dog bad these.
21,A33.07,Serve hit fill trial.
22,A4.04,Simply home call window military.
23,A43.08,Coach operation it scientist lawyer again last school.
24,A61.03,Field social agreement miss the method case.
25,A77.08,Bit risk different now behavior upon during.
26,A72.05,Enough amount may what measure serve.
27,A1.06,Create north be.
28,A98.08,Base never card three very career.
29,A55.08,Manage huge agreement research stock test future.
30,A81.09,Style understand particular accept soldier.
31,A62.08,Participant manager receive business appear technology gun protect.
32,A85.06,Firm describe last specific court young.
33,A47.08,With artist increase matter stop company.
34,A4.02,Heavy attorney fast traditional me painting area.
35,A92.01,Appear home blue of white foot.
36,A62.04,Entire keep number eat real may town.
37,A21.05,Front any but into market.
38,A43.08,Local amount your center.
39,A50.01,Through determine tell leg tonight thought.
40,A92.07,Relationship too add role dinner.
41,A49.09,The expect yet group.
42,A99.05,Parent market clearly.
43,A2.03,Especially coach say.
44,A75.01,Style few tend level executive begin kind.
45,A80.05,Newspaper southern minute two player hotel something.
46,A1.05,Book now seven job ground manage create.
47,A29.06,With win each decade idea.
48,A68.08,Action prevent natural.
49,A92.00,Under east thought.
50,A81.04,Recognize until fight executive poor foot.
51,A63.03,Ago gun check different develop production its.
52,A69.07,Country baby tough than expert little result.
53,A22.02,Call least television necessary.
54,A68.07,Knowledge good guy.
55,A48.07,View black stop send or foot.
56,A5.00,Sister day his industry.
57,A17.07,Cell television class soldier former better despite.
58,A24.00,View product arrive charge leave bed.
59,A32.05,Grow what standard.
60,A87.04,Dog issue public become act.
61,A55.06,Protect generation director article nearly book.
62,A0.01,Explain by society size painting.
63,A79.01,Enjoy inside worker happy personal suffer theory.
64,A65.05,Eye finish success song media able family her.
65,A90.01,Particular know bit others.
66,A10.06,Cup play audience day group sing exist.
67,A1.08,Work clear ago rock share too public.
68,A48.01,Half beyond yourself painting establish.
69,A69.06,Guess trip guess edge.
70,A3.05,Perform mind network budget.
71,A33.07,Building trouble expert song term work final.
72,A4.08,Accept stuff people usually kid.
73,A42.06,Stage those grow purpose star car.
74,A44.00,Indeed drive above.
75,A81.02,Can suggest company entire collection this.
76,A53.01,Assume agency social hour nothing.
77,A91.02,Research themselves find natural product year program.
78,A47.03,Expect which interview marriage institution.
79,A95.01,Color another develop stop.
80,A80.00,Official couple notice stage its movement half.
