dim_tempo_key,date,day,month,year,quarter,is_weekend
1,2018-01-01,1,1,2018,1,False
2,2018-01-02,2,1,2018,1,False
3,2018-01-03,3,1,2018,1,False
4,2018-01-04,4,1,2018,1,False
5,2018-01-05,5,1,2018,1,False
6,2018-01-06,6,1,2018,1,True
7,2018-01-07,7,1,2018,1,True
8,2018-01-08,8,1,2018,1,False
9,2018-01-09,9,1,2018,1,False
10,2018-01-10,10,1,2018,1,False
11,2018-01-11,11,1,2018,1,False
12,2018-01-12,12,1,2018,1,False
13,2018-01-13,13,1,2018,1,True
14,2018-01-14,14,1,2018,1,True
15,2018-01-15,15,1,2018,1,False
16,2018-01-16,16,1,2018,1,False
17,2018-01-17,17,1,2018,1,False
18,2018-01-18,18,1,2018,1,False
19,2018-01-19,19,1,2018,1,False
20,2018-01-20,20,1,2018,1,True
21,2018-01-21,21,1,2018,1,True
22,2018-01-22,22,1,2018,1,False
23,2018-01-23,23,1,2018,1,False
24,2018-01-24,24,1,2018,1,False
25,2018-01-25,25,1,2018,1,False
26,2018-01-26,26,1,2018,1,False
27,2018-01-27,27,1,2018,1,True
28,2018-01-28,28,1,2018,1,True
29,2018-01-29,29,1,2018,1,False
30,2018-01-30,30,1,2018,1,False
31,2018-01-31,31,1,2018,1,False
32,2018-02-01,1,2,2018,1,False
33,2018-02-02,2,2,2018,1,False
34,2018-02-03,3,2,2018,1,True
35,2018-02-04,4,2,2018,1,True
36,2018-02-05,5,2,2018,1,False
37,2018-02-06,6,2,2018,1,False
38,2018-02-07,7,2,2018,1,False
39,2018-02-08,8,2,2018,1,False
40,2018-02-09,9,2,2018,1,False
41,2018-02-10,10,2,2018,1,True
42,2018-02-11,11,2,2018,1,True
43,2018-02-12,12,2,2018,1,False
44,2018-02-13,13,2,2018,1,False
45,2018-02-14,14,2,2018,1,False
46,2018-02-15,15,2,2018,1,False
47,2018-02-16,16,2,2018,1,False
48,2018-02-17,17,2,2018,1,True
49,2018-02-18,18,2,2018,1,True
50,2018-02-19,19,2,2018,1,False
51,2018-02-20,20,2,2018,1,False
52,2018-02-21,21,2,2018,1,False
53,2018-02-22,22,2,2018,1,False
54,2018-02-23,23,2,2018,1,False
55,2018-02-24,24,2,2018,1,True
56,2018-02-25,25,2,2018,1,True
57,2018-02-26,26,2,2018,1,False
58,2018-02-27,27,2,2018,1,False
59,2018-02-28,28,2,2018,1,False
60,2018-03-01,1,3,2018,1,False
61,2018-03-02,2,3,2018,1,False
62,2018-03-03,3,3,2018,1,True
63,2018-03-04,4,3,2018,1,True
64,2018-03-05,5,3,2018,1,False
65,2018-03-06,6,3,2018,1,False
66,2018-03-07,7,3,2018,1,False
67,2018-03-08,8,3,2018,1,False
68,2018-03-09,9,3,2018,1,False
69,2018-03-10,10,3,2018,1,True
70,2018-03-11,11,3,2018,1,True
71,2018-03-12,12,3,2018,1,False
72,2018-03-13,13,3,2018,1,False
73,2018-03-14,14,3,2018,1,False
74,2018-03-15,15,3,2018,1,False
75,2018-03-16,16,3,2018,1,False
76,2018-03-17,17,3,2018,1,True
77,2018-03-18,18,3,2018,1,True
78,2018-03-19,19,3,2018,1,False
79,2018-03-20,20,3,2018,1,False
80,2018-03-21,21,3,2018,1,False
81,2018-03-22,22,3,2018,1,False
82,2018-03-23,23,3,2018,1,False
83,2018-03-24,24,3,2018,1,True
84,2018-03-25,25,3,2018,1,True
85,2018-03-26,26,3,2018,1,False
86,2018-03-27,27,3,2018,1,False
87,2018-03-28,28,3,2018,1,False
88,2018-03-29,29,3,2018,1,False
89,2018-03-30,30,3,2018,1,False
90,2018-03-31,31,3,2018,1,True
91,2018-04-01,1,4,2018,2,True
92,2018-04-02,2,4,2018,2,False
93,2018-04-03,3,4,2018,2,False
94,2018-04-04,4,4,2018,2,False
95,2018-04-05,5,4,2018,2,False
96,2018-04-06,6,4,2018,2,False
97,2018-04-07,7,4,2018,2,True
98,2018-04-08,8,4,2018,2,True
99,2018-04-09,9,4,2018,2,False
100,2018-04-10,10,4,2018,2,False
101,2018-04-11,11,4,2018,2,False
102,2018-04-12,12,4,2018,2,False
103,2018-04-13,13,4,2018,2,False
104,2018-04-14,14,4,2018,2,True
105,2018-04-15,15,4,2018,2,True
106,2018-04-16,16,4,2018,2,False
107,2018-04-17,17,4,2018,2,False
108,2018-04-18,18,4,2018,2,False
109,2018-04-19,19,4,2018,2,False
110,2018-04-20,20,4,2018,2,False
111,2018-04-21,21,4,2018,2,True
112,2018-04-22,22,4,2018,2,True
113,2018-04-23,23,4,2018,2,False
114,2018-04-24,24,4,2018,2,False
115,2018-04-25,25,4,2018,2,False
116,2018-04-26,26,4,2018,2,False
117,2018-04-27,27,4,2018,2,False
118,2018-04-28,28,4,2018,2,True
119,2018-04-29,29,4,2018,2,True
120,2018-04-30,30,4,2018,2,False
121,2018-05-01,1,5,2018,2,False
122,2018-05-02,2,5,2018,2,False
123,2018-05-03,3,5,2018,2,False
124,2018-05-04,4,5,2018,2,False
125,2018-05-05,5,5,2018,2,True
126,2018-05-06,6,5,2018,2,True
127,2018-05-07,7,5,2018,2,False
128,2018-05-08,8,5,2018,2,False
129,2018-05-09,9,5,2018,2,False
130,2018-05-10,10,5,2018,2,False
131,2018-05-11,11,5,2018,2,False
132,2018-05-12,12,5,2018,2,True
133,2018-05-13,13,5,2018,2,True
134,2018-05-14,14,5,2018,2,False
135,2018-05-15,15,5,2018,2,False
136,2018-05-16,16,5,2018,2,False
137,2018-05-17,17,5,2018,2,False
138,2018-05-18,18,5,2018,2,False
139,2018-05-19,19,5,2018,2,True
140,2018-05-20,20,5,2018,2,True
141,2018-05-21,21,5,2018,2,False
142,2018-05-22,22,5,2018,2,False
143,2018-05-23,23,5,2018,2,False
144,2018-05-24,24,5,2018,2,False
145,2018-05-25,25,5,2018,2,False
146,2018-05-26,26,5,2018,2,True
147,2018-05-27,27,5,2018,2,True
148,2018-05-28,28,5,2018,2,False
149,2018-05-29,29,5,2018,2,False
150,2018-05-30,30,5,2018,2,False
151,2018-05-31,31,5,2018,2,False
152,2018-06-01,1,6,2018,2,False
153,2018-06-02,2,6,2018,2,True
154,2018-06-03,3,6,2018,2,True
155,2018-06-04,4,6,2018,2,False
156,2018-06-05,5,6,2018,2,False
157,2018-06-06,6,6,2018,2,False
158,2018-06-07,7,6,2018,2,False
159,2018-06-08,8,6,2018,2,False
160,2018-06-09,9,6,2018,2,True
161,2018-06-10,10,6,2018,2,True
162,2018-06-11,11,6,2018,2,False
163,2018-06-12,12,6,2018,2,False
164,2018-06-13,13,6,2018,2,False
165,2018-06-14,14,6,2018,2,False
166,2018-06-15,15,6,2018,2,False
167,2018-06-16,16,6,2018,2,True
168,2018-06-17,17,6,2018,2,True
169,2018-06-18,18,6,2018,2,False
170,2018-06-19,19,6,2018,2,False
171,2018-06-20,20,6,2018,2,False
172,2018-06-21,21,6,2018,2,False
173,2018-06-22,22,6,2018,2,False
174,2018-06-23,23,6,2018,2,True
175,2018-06-24,24,6,2018,2,True
176,2018-06-25,25,6,2018,2,False
177,2018-06-26,26,6,2018,2,False
178,2018-06-27,27,6,2018,2,False
179,2018-06-28,28,6,2018,2,False
180,2018-06-29,29,6,2018,2,False
181,2018-06-30,30,6,2018,2,True
182,2018-07-01,1,7,2018,3,True
183,2018-07-02,2,7,2018,3,False
184,2018-07-03,3,7,2018,3,False
185,2018-07-04,4,7,2018,3,False
186,2018-07-05,5,7,2018,3,False
187,2018-07-06,6,7,2018,3,False
188,2018-07-07,7,7,2018,3,True
189,2018-07-08,8,7,2018,3,True
190,2018-07-09,9,7,2018,3,False
191,2018-07-10,10,7,2018,3,False
192,2018-07-11,11,7,2018,3,False
193,2018-07-12,12,7,2018,3,False
194,2018-07-13,13,7,2018,3,False
195,2018-07-14,14,7,2018,3,True
196,2018-07-15,15,7,2018,3,True
197,2018-07-16,16,7,2018,3,False
198,2018-07-17,17,7,2018,3,False
199,2018-07-18,18,7,2018,3,False
200,2018-07-19,19,7,2018,3,False
201,2018-07-20,20,7,2018,3,False
202,2018-07-21,21,7,2018,3,True
203,2018-07-22,22,7,2018,3,True
204,2018-07-23,23,7,2018,3,False
